Current Build;FAMILY;STATUS;PLATFORM;FLOW;SITE;USERNAME;TESTCASENAME;Error String;CR;notes;Reference Build;Reference Family;Reference Status;Reference Platform;Reference Flow;Reference Site;Reference User;Reference Error Message
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;ANKITKO;apb_bridge_random_k728898_0;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 772 I/O ports ;1;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 772 I/O ports 
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH;apb_bridge_random_k728898_0;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 772 I/O ports ;663247;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 772 I/O ports 
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;ANKITKO;apb_bridge_random_k728898_1;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 789 I/O ports ;1;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 789 I/O ports 
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH;apb_bridge_random_k728898_1;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 789 I/O ports ;663247;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 789 I/O ports 
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;ANKITKO;apb_bridge_random_k728898_3;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 772 I/O ports ;1;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 772 I/O ports 
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH;apb_bridge_random_k728898_3;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 772 I/O ports ;663247;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 772 I/O ports 
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;ANKITKO;apb_bridge_random_k728898_4;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 772 I/O ports ;1;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 772 I/O ports 
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH;apb_bridge_random_k728898_4;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 772 I/O ports ;663247;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 772 I/O ports 
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;ANKITKO;apb_bridge_random_k728898_5;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 772 I/O ports ;1;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 772 I/O ports 
14.2_0604;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH;apb_bridge_random_k728898_5;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 772 I/O ports ;663247;;14.2_0603;KINTEX7;FAIL;LIN64;EDKIP;CO;HSHAH; IO Placement failed due to overutilization. This design contains 772 I/O ports 
